Epoch,Time,Loss,Train_Acc,Val_Acc,Action
107,147.9m,1.4842,0.7333,0.7232,Stop: 10/50
108,149.2m,1.4853,0.7335,0.7283,Stop: 11/50
109,150.6m,1.4785,0.7345,0.7274,Stop: 12/50
110,152.0m,1.4769,0.7358,0.7281,Stop: 13/50
111,153.4m,1.478,0.7355,0.7298,SAVE
112,154.7m,1.481,0.7339,0.7232,Stop: 1/50
113,156.1m,1.4761,0.7371,0.724,Stop: 2/50
114,157.5m,1.4772,0.7349,0.7301,SAVE
115,158.9m,1.4772,0.7356,0.7261,Stop: 1/50
116,160.3m,1.4745,0.7374,0.7232,Stop: 2/50
117,161.7m,1.4734,0.7358,0.7281,Stop: 3/50
118,163.1m,1.472,0.736,0.7274,Stop: 4/50
119,164.4m,1.4754,0.7369,0.7238,Stop: 5/50
120,165.8m,1.4642,0.7387,0.73,Stop: 6/50
121,167.2m,1.4696,0.7372,0.7262,Stop: 7/50
122,168.6m,1.4678,0.74,0.7267,Stop: 8/50
123,170.0m,1.4685,0.7387,0.729,Stop: 9/50
124,171.4m,1.4663,0.739,0.7202,Stop: 10/50
125,172.7m,1.4634,0.739,0.7331,SAVE
126,174.1m,1.4614,0.7395,0.7281,Stop: 1/50
127,175.5m,1.4623,0.7402,0.7275,Stop: 2/50
128,176.9m,1.4635,0.7396,0.7302,Stop: 3/50
129,178.3m,1.4621,0.7402,0.7324,Stop: 4/50
130,179.7m,1.4625,0.7414,0.7273,Stop: 5/50
131,181.0m,1.4586,0.7413,0.733,Stop: 6/50
132,182.4m,1.4563,0.7428,0.73,Stop: 7/50
133,183.8m,1.4568,0.7435,0.728,Stop: 8/50
134,185.2m,1.4536,0.7442,0.7244,Stop: 9/50
135,186.6m,1.451,0.7444,0.7344,SAVE
136,187.9m,1.4494,0.7456,0.7325,Stop: 1/50
137,189.3m,1.453,0.7441,0.7323,Stop: 2/50
138,190.7m,1.4501,0.7453,0.7306,Stop: 3/50
139,192.1m,1.4514,0.7439,0.7239,Stop: 4/50
140,193.5m,1.453,0.7443,0.7265,Stop: 5/50
141,194.9m,1.4459,0.7468,0.7264,Stop: 6/50
142,196.3m,1.4486,0.7461,0.7295,Stop: 7/50
143,197.6m,1.4461,0.7471,0.7308,Stop: 8/50
144,199.0m,1.4443,0.7466,0.7311,Stop: 9/50
145,200.4m,1.4474,0.7466,0.7298,Stop: 10/50
146,201.8m,1.4401,0.7486,0.7222,Stop: 11/50
147,203.2m,1.4374,0.7496,0.7243,Stop: 12/50
148,204.5m,1.4376,0.7481,0.7323,Stop: 13/50
